Model,Feature Method,Val Accuracy,Test Accuracy,Precision,Recall,Macro F1
Logistic Regression + TF-IDF,TF-IDF,0.5628041714947857,0.573004542504867,0.48792550963109343,0.5733653408927633,0.5146576365795724
Linear SVM + TF-IDF,TF-IDF,0.557242178447277,0.5636414202280523,0.47292458820623623,0.5226833796336415,0.4924203948673897
Linear SVM + Word2Vec,Word2Vec,0.5060254924681344,0.5082970241957913,0.3902464291609364,0.4266177087139032,0.3908622392214898
Logistic Regression + Word2Vec,Word2Vec,0.43742757821552725,0.4409010846389172,0.3701258646698991,0.4335515589194145,0.35985364150671645
