Model,Feature Method,Val Accuracy,Test Accuracy,Precision,Recall,Macro F1
Logistic Regression + TF-IDF,TF-IDF,0.5741576936436262,0.5699731406872279,0.48327761543985154,0.5732257833779524,0.5107822854248354
Linear SVM + TF-IDF,TF-IDF,0.5680213036934121,0.5670093544503103,0.47328657459283024,0.5294822540620967,0.49482941082642373
DistilRoBERTa (Transformer),Transformer Embeddings,,0.49666666666666665,0.46410801557860376,0.5021904185984009,0.45106532154527396
Linear SVM + Word2Vec,Word2Vec,0.5083941183281232,0.5086598129109938,0.37859500519126893,0.41385094678183637,0.3829370421624945
Logistic Regression + Word2Vec,Word2Vec,0.4378835243718884,0.438362508104103,0.3626120397831582,0.427981284032718,0.3527323089067769
